market_segment_type0,market_segment_type1,market_segment_type2,market_segment_type3
asc,,,
asc,food_store,,
asc,food_store,bakeries_pastry_shops,
asc,food_store,butchers_delicatessens_caterers,
asc,food_store,convenience_stores,
asc,food_store,other_food_stores,
asc,food_store,other_food_stores,candy_shop
asc,food_store,other_food_stores,cheese_shop
asc,food_store,other_food_stores,farm
asc,food_store,other_food_stores,fishmongers
asc,food_store,other_food_stores,gas_station
asc,food_store,other_food_stores,other_food_stores
asc,food_store,other_food_stores,tea_shop
asc,food_store,other_food_stores,wholesaler
asc,food_store,wine_shops,
asc,other_types_of_businesses,,
asc,other_types_of_businesses,other_daily_circuits,
asc,other_types_of_businesses,other_daily_circuits,beauty_cosmetic_health_care
asc,other_types_of_businesses,other_daily_circuits,clothes
asc,other_types_of_businesses,other_daily_circuits,florist
asc,other_types_of_businesses,other_daily_circuits,hairdresser
asc,other_types_of_businesses,other_daily_circuits,housing_related
asc,other_types_of_businesses,other_daily_circuits,newsstands
asc,other_types_of_businesses,other_daily_circuits,other_goods_shop
asc,other_types_of_businesses,other_daily_circuits,service
asc,other_types_of_businesses,tobacco_shops,
horeca,,,
horeca,cafes_bars_discotheques,,
horeca,cafes_bars_discotheques,beer_bars_beer_temples_pubs,
horeca,cafes_bars_discotheques,clubs_nightclubs_party_bars,
horeca,cafes_bars_discotheques,clubs_nightclubs_party_bars,adult
horeca,cafes_bars_discotheques,cocktail_bars,
horeca,cafes_bars_discotheques,service_bars,
horeca,cafes_bars_discotheques,traditional_bars,
horeca,cafes_bars_discotheques,wine_tapas_bars,
horeca,fast_food,,
horeca,fast_food,asian,
horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,
horeca,fast_food,fast_food_burgers_chicken,
horeca,fast_food,fast_food_kebab_tacos_mexican,
horeca,fast_food,fast_food_sandwiches_bagels_salads,
horeca,fast_food,other_fast_food,
horeca,fast_food,pizza_pasta,
horeca,fast_food,self_service_cafeterias,
horeca,hotel_lodging,,
horeca,hotel_lodging,campsites,
horeca,hotel_lodging,hotels,
horeca,hotel_lodging,other_accommodations,
horeca,table_service,,
horeca,table_service,brasseries_cafe_restaurants,
horeca,table_service,creperies,
horeca,table_service,fine_dining,
horeca,table_service,themed_dining_asian,
horeca,table_service,themed_dining_fish_seafood,
horeca,table_service,themed_dining_grills_meat_specialties,
horeca,table_service,themed_dining_italian_pizzerias,
horeca,table_service,themed_dining_other_specialties,
horeca,table_service,traditional_dining,
leisure,,,
leisure,on_site_catering_events,,
leisure,on_site_catering_events,cultural_sites,
leisure,on_site_catering_events,event_caterers,
leisure,on_site_catering_events,leisure_sites,
leisure,on_site_catering_events,leisure_sites,amusement_recreation
leisure,on_site_catering_events,leisure_sites,beach_club
leisure,on_site_catering_events,leisure_sites,bowling
leisure,on_site_catering_events,leisure_sites,casino
leisure,on_site_catering_events,leisure_sites,event_place
leisure,on_site_catering_events,leisure_sites,excursion_tours
leisure,on_site_catering_events,leisure_sites,other_leisure_sites
leisure,on_site_catering_events,leisure_sites,spa
leisure,on_site_catering_events,leisure_sites,zoo_farm_garden
leisure,on_site_catering_events,other_events,
leisure,on_site_catering_events,sports_sites,
